,Latitude,temperature
301,-11.41,73.07
302,5.69,64.79
303,46.65,69.92
304,38.96,64.4
305,27.87,87.8
306,34.16,30.95
307,40.29,62.63
308,66.15,30.86
309,51.59,62.6
310,NA,errorheresaleaula
311,-7.84,64.4
312,13.52,68.3
313,-45.41,36.17
314,7.43,70.46
315,59.79,51.8
316,7.71,84.59
317,-25.24,57.2
318,37.46,73.4
319,34.77,86.3
320,49.78,55.4
321,-19.55,72.8
322,45.76,73.16
323,6.12,80.63
324,39.94,78.8
325,13.17,84.2
326,-22.22,64.07
327,11.67,82.07
328,NA,errorheresahrak
329,8,73.7
330,29.36,89.45
331,-6.22,80.09
332,-2.57,83.87
333,0.12,81.8
334,NA,errorheretatawin
335,-22.87,65.15
336,51.02,62.6
337,61.32,73.7
338,34.41,73.4
339,NA,errorhereodweyne
340,33.93,78.8
341,-31.97,52.37
342,43.97,71.6
343,48.65,50.03
344,NA,errorherebolungarvik
345,61.68,76.76
346,14.2,70.19
347,-34.71,50
348,53.19,72.8
349,55.31,65.6
350,5.35,75.41
351,52.63,55.4
352,37.73,66.2
353,41.69,68
354,53.94,61.73
355,NA,errorheredenau
356,6.8,75.2
357,23.99,75.2
358,53.14,59
359,28.89,82.25
360,26.25,69.02
361,45.34,57.32
362,-16.48,81.26
363,44.57,59
364,41.37,77
365,30.41,82.52
366,NA,errorherephan rang
367,45.16,66.2
368,2.67,82.25
369,NA,errorherewahran
370,59.64,57.2
371,62.23,50
372,43.78,66.2
373,-10.07,52.37
374,16.97,74.42
375,-20.31,68
376,18.22,82.4
377,30.29,87.8
378,41.71,62.6
379,54.47,56.87
380,60.14,35.99
381,-3.52,67.85
382,50.04,78.38
383,-19.16,40.13
384,13.27,80.6
385,47.66,84.2
386,51.89,57.2
387,NA,errorhereagua caliente de linaca
388,31.86,67.67
389,70.47,37.4
390,9.22,57.86
391,68.31,35
392,30.69,67.67
393,35.03,78.8
394,-2.02,84.05
395,16.78,80
396,-0.87,82.61
397,50.56,69.56
398,0.61,71.45
399,45.36,59
400,39.49,71.6
401,44.83,64.4
